detector_type,x_composition,T_kelvin,Nd,V_bias,n_i,Eg_eV,mean_E,U_E,C_E,f_act_50,Lambda_phi,max_E,solve_time,Newton_iterations,converged
LWIR,0.2,40.0,1e+20,0.05,1.6164312264132751e+18,0.07109600000000002,0,0,0,0,0,0,0,0,0
LWIR,0.2,50.0,1e+20,0.05,1.2243780805466474e+19,0.07430600000000001,0,0,0,0,0,0,0,0,0
LWIR,0.2,60.0,1e+20,0.05,4.966109352436906e+19,0.077516,0,0,0,0,0,0,0,0,0
LWIR,0.2,70.0,1e+20,0.05,1.399449010673257e+20,0.08072599999999999,0,0,0,0,0,0,0,0,0
LWIR,0.2,80.0,1e+20,0.05,3.1266945913249713e+20,0.08393600000000001,0,0,0,0,0,0,0,0,0
LWIR,0.2,90.0,1e+20,0.05,5.966247596472547e+20,0.087146,0,0,0,0,0,0,0,0,0
LWIR,0.2,100.0,1e+20,0.05,1.01729551392901e+21,0.09035599999999999,0,0,0,0,0,0,0,0,0
LWIR,0.2,110.0,1e+20,0.05,1.595840503033724e+21,0.09356600000000001,0,0,0,0,0,0,0,0,0
LWIR,0.2,120.0,1e+20,0.05,2.349002235343331e+21,0.096776,0,0,0,0,0,0,0,0,0
LWIR,0.2,130.0,1e+20,0.05,3.2894879052188735e+21,0.09998599999999999,0,0,0,0,0,0,0,0,0
LWIR,0.2,140.0,1e+20,0.05,4.4265352073275853e+21,0.10319599999999998,0,0,0,0,0,0,0,0,0
LWIR,0.2,150.0,1e+20,0.05,5.766507765478807e+21,0.106406,0,0,0,0,0,0,0,0,0
LWIR,0.2,40.0,1e+21,0.05,1.6164312264132751e+18,0.07109600000000002,0,0,0,0,0,0,0,0,0
LWIR,0.2,50.0,1e+21,0.05,1.2243780805466474e+19,0.07430600000000001,0,0,0,0,0,0,0,0,0
LWIR,0.2,60.0,1e+21,0.05,4.966109352436906e+19,0.077516,0,0,0,0,0,0,0,0,0
LWIR,0.2,70.0,1e+21,0.05,1.399449010673257e+20,0.08072599999999999,0,0,0,0,0,0,0,0,0
LWIR,0.2,80.0,1e+21,0.05,3.1266945913249713e+20,0.08393600000000001,0,0,0,0,0,0,0,0,0
LWIR,0.2,90.0,1e+21,0.05,5.966247596472547e+20,0.087146,0,0,0,0,0,0,0,0,0
LWIR,0.2,100.0,1e+21,0.05,1.01729551392901e+21,0.09035599999999999,0,0,0,0,0,0,0,0,0
LWIR,0.2,110.0,1e+21,0.05,1.595840503033724e+21,0.09356600000000001,0,0,0,0,0,0,0,0,0
LWIR,0.2,120.0,1e+21,0.05,2.349002235343331e+21,0.096776,0,0,0,0,0,0,0,0,0
LWIR,0.2,130.0,1e+21,0.05,3.2894879052188735e+21,0.09998599999999999,0,0,0,0,0,0,0,0,0
LWIR,0.2,140.0,1e+21,0.05,4.4265352073275853e+21,0.10319599999999998,0,0,0,0,0,0,0,0,0
LWIR,0.2,150.0,1e+21,0.05,5.766507765478807e+21,0.106406,0,0,0,0,0,0,0,0,0
LWIR,0.2,40.0,1e+22,0.05,1.6164312264132751e+18,0.07109600000000002,0,0,0,0,0,0,0,0,0
LWIR,0.2,50.0,1e+22,0.05,1.2243780805466474e+19,0.07430600000000001,0,0,0,0,0,0,0,0,0
LWIR,0.2,60.0,1e+22,0.05,4.966109352436906e+19,0.077516,0,0,0,0,0,0,0,0,0
LWIR,0.2,70.0,1e+22,0.05,1.399449010673257e+20,0.08072599999999999,0,0,0,0,0,0,0,0,0
LWIR,0.2,80.0,1e+22,0.05,3.1266945913249713e+20,0.08393600000000001,0,0,0,0,0,0,0,0,0
LWIR,0.2,90.0,1e+22,0.05,5.966247596472547e+20,0.087146,0,0,0,0,0,0,0,0,0
LWIR,0.2,100.0,1e+22,0.05,1.01729551392901e+21,0.09035599999999999,0,0,0,0,0,0,0,0,0
LWIR,0.2,110.0,1e+22,0.05,1.595840503033724e+21,0.09356600000000001,0,0,0,0,0,0,0,0,0
LWIR,0.2,120.0,1e+22,0.05,2.349002235343331e+21,0.096776,0,0,0,0,0,0,0,0,0
LWIR,0.2,130.0,1e+22,0.05,3.2894879052188735e+21,0.09998599999999999,0,0,0,0,0,0,0,0,0
LWIR,0.2,140.0,1e+22,0.05,4.4265352073275853e+21,0.10319599999999998,0,0,0,0,0,0,0,0,0
LWIR,0.2,150.0,1e+22,0.05,5.766507765478807e+21,0.106406,0,0,0,0,0,0,0,0,0
MWIR,0.3,80.0,1e+20,0.05,2905660888864060.0,0.24368399999999996,0,0,0,0,0,0,0,0,0
